sp500 open,sp500 high,sp500 low,sp500 close,sp500 volume,sp500 high-low,nasdaq open,nasdaq high,nasdaq low,nasdaq close,nasdaq volume,nasdaq high-low,us_rates_%,CPI,usd_chf,eur_usd,GDP,silver open,silver high,silver low,silver close,silver volume,silver high-low,oil open,oil high,oil low,oil close,oil volume,oil high-low,platinum open,platinum high,platinum low,platinum close,platinum volume,platinum high-low,palladium open,palladium high,palladium low,palladium close,palladium volume,palladium high-low,gold open,gold high,gold low,gold close,gold volume,year,day,volatility_category,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
-1.2436271027504877,-1.2451786933255864,-1.2437235136446854,-1.2438268631851068,0.7072107966682213,-0.7052271453738027,-1.0861359375173751,-1.085595708956588,-1.0883064781788103,-1.08789787753273,1.4738363170619109,-0.6488658160677003,-0.5928658723441412,-1.3128629891161514,2.0855949690137683,1.46084967669779,-1.3598044118531534,-0.567705164834951,-0.5774808080268344,-0.5626013689035578,-0.5749268326449881,-0.583969384704346,-0.6262039458391536,0.2913822257515868,0.2850180149860532,0.3105396920696981,0.3023209933015089,-0.2384879823381479,-0.6157888738230513,1.700418366761741,1.7167960284921477,1.7261621585226266,1.7295506968468461,-0.09415178379736726,0.05116013057868281,-1.0373959231212064,-1.0408032003189853,-1.039687984164971,-1.042191039650631,0.6513438859743677,-0.6719532084498119,-1.198619631127507,-1.197566878406897,-1.1842303160409524,-1.188564969021529,0.27906683369813196,-1.6237709413082009,-1.6339713093326378,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.241771068144242,-1.2427581515503858,-1.2403213223920913,-1.2398678674844226,0.3037572479910827,-0.7485385720101222,-1.0864629561852315,-1.0855145641796733,-1.0868635218566658,-1.0860583892241302,0.946174917420561,-0.7084596334657879,-0.5928658723441412,-1.31304848594051,2.22574036078206,1.3885108051412487,-1.3592069956002004,-0.5629057859876789,-0.5656537471136649,-0.5536293209344879,-0.5557164518871089,-0.4992958530697229,-0.5674605968118901,0.3030392523649255,0.30356716146144824,0.3216437469885895,0.32130205672611944,-0.2619186007936628,-0.3617261336104528,1.73937717845662,1.7675167752797774,1.763534991882798,1.7868120658432152,0.009711202597531981,0.6111600945249845,-1.037222881934119,-1.0266082528815559,-1.0367262849153698,-1.0295399986171256,0.9376231335889019,-0.41145735337726713,-1.1886477650565959,-1.1889281082755982,-1.1782780210405301,-1.1779192259121458,0.02188666364289486,-1.6237709413082009,-1.5212785129870248,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.2399150335379963,-1.2403376097751857,-1.2369191311394967,-1.2359088717837383,-0.09969630068605588,-0.7918499986464417,-1.0867899748530874,-1.0854334194027586,-1.0854205655345215,-1.0842189009155303,0.4185135177792112,-0.7680534508638754,-0.5928658723441412,-1.3132339827648698,2.200782962247983,1.387628623780803,-1.3586095793472472,-0.5581064071404075,-0.5538266862004949,-0.544657272965418,-0.5365060711292303,-0.41462232143509975,-0.5087172477846265,0.31469627897826424,0.32211630793684287,0.33274780190748054,0.3402831201507299,-0.28534921924917767,-0.10766339339785437,1.7783359901514995,1.8182375220674067,1.8009078252429693,1.8440734348395833,0.11357418899243123,1.171160058471286,-1.0370498407470317,-1.0124133054441267,-1.0337645856657687,-1.0168889575836204,1.2239023812034362,-0.1509614983047223,-1.1786758989856847,-1.1802893381442998,-1.172325726040108,-1.1672734828027624,-0.23529350641234223,-1.6237709413082009,-1.1832001239501855,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.2385126962799438,-1.236973466968975,-1.2338488609847165,-1.2335994576250056,-0.03316178779417524,-0.7767851545990294,-1.0849096175129147,-1.0839728134182915,-1.0833591993600296,-1.0830743304124018,0.33705950690114794,-0.7933356764267001,-0.5928658723441412,-1.3134194795892287,2.363965952663119,1.292353036852676,-1.3580121630942936,-0.5501074423949541,-0.5601344520208524,-0.5479198358632615,-0.558918182013422,-0.6439975207887011,-0.5674605968118952,0.3361817790106922,0.3257356535905784,0.35079189115067894,0.3379962450393312,-0.2966777570015365,-0.5709542726090622,1.828403539317609,1.8244800755181916,1.8492758089891876,1.8318701922665863,-0.24099255766601793,-0.5540260373550091,-1.0143814452385937,-1.0103610238869078,-1.0126706078055518,-1.0094369745090899,1.5892141446116095,-0.5763002330951291,-1.167520930160598,-1.162588015504228,-1.153278382038757,-1.1625420414208143,0.10856642624322216,-1.6237709413082009,-1.0705073276045722,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.235378060056062,-1.2360708920697474,-1.2378319141584855,-1.2392080348676418,1.0469078578994457,-0.5545787048996538,-1.0832745241736341,-1.084216247749036,-1.0835241086539888,-1.084055390843655,1.223815624572543,-0.7969474229356743,-0.5928658723441412,-1.3136049764135875,2.3870035513099634,1.2800024978064368,-1.3574147468413404,-0.5421084776495009,-0.5333264472843344,-0.5218193326805124,-0.5301026108766036,-0.35922751971419514,-0.538088922298261,0.3361817790106922,0.3212114715234092,0.3332104708624346,0.3151274939253426,-0.2563627088088722,-0.15249799461184357,1.872525567020243,1.8622475238954421,1.859950620803576,1.836253972483194,-0.1765258764553908,0.5661026261614945,-1.0050372211358787,-1.0081377188665877,-1.0091552377763515,-1.0080505590533633,4.217518589306034,-0.6038659320446076,-1.1350701117603452,-1.1148284142332767,-1.121306054607918,-1.1131998670090697,1.5405848461713547,-1.6237709413082009,-0.9578145312589592,1,0,0,0,1,0,0,0,0,0,0,0,0
-1.242389746346324,-1.239270930348826,-1.2395744999220095,-1.2358263927066406,0.6695621645606233,-0.6223705031130196,-1.0847461081789866,-1.0846219716336103,-1.0845960190647246,-1.0831560854483393,0.8824852621081944,-0.7680534508638754,-0.5928658723441412,-1.3137904732379473,2.4004421505206204,1.2764737723646546,-1.3568173305883875,-0.5549068212422262,-0.5538266862004949,-0.5381321471697302,-0.5455829760373281,-0.6170646301575632,-0.6262039458391536,0.2964107470357721,0.2994953976009955,0.3077636783399752,0.31146849374710417,-0.31210708749802796,-0.047883925112538965,1.8255872396770152,1.8494502893213327,1.8483336367196035,1.8669122726704297,-0.40335308812241216,0.5144796409793236,-1.0202648455995624,-1.018399126652681,-1.0167150410241468,-1.0137695228082355,3.1814691313260277,-0.6707718213519743,-1.114112291543515,-1.113146738132187,-1.1090613334641923,-1.1077925054297,0.4537260613630373,-1.6237709413082009,-0.8451217349133462,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.2335632706632884,-1.234101637744161,-1.229616866987587,-1.2293930246930285,0.294286367114317,-0.837044530788689,-1.0826204868379217,-1.0827556417645692,-1.0813390605090274,-1.0807851894061442,0.3420544730919561,-0.8276472682619617,-0.5928658723441412,-1.3139759700623062,2.302532356271536,1.3717493592927816,-1.3562199143354343,-0.5117124116167792,-0.5065184425478171,-0.48919370370207627,-0.49808530961347197,-0.588534315520963,-0.6262039458391536,0.3169819704710756,0.3048791742609272,0.3035996577453911,0.2991193681455505,-0.2394429072047952,0.26446379667823466,1.8809744659420244,1.8825358226104942,1.8973234541637476,1.908531587917463,-0.42842346414876714,-0.1290697428752805,-1.0078058801292757,-1.0055723669200642,-1.0040597089190257,-1.0005985759788327,1.2400711465736227,-0.6589579503736273,-1.0931544713266848,-1.076486199128429,-1.0883133337484352,-1.0743344556573524,1.101499590950471,-1.6237709413082009,-0.7324289385677331,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.2279539216310789,-1.2304092858836855,-1.2233103661291198,-1.2278259222281742,-0.03307410179451125,-0.9537970721561577,-1.080331356162929,-1.0815384701108466,-1.0788241937761471,-1.0804581692623931,-0.03953869288432121,-0.8836293391510712,-0.5928658723441412,-1.314161466886666,2.160467164616008,1.4767289411858115,-1.3556224980824811,-0.4893153103295102,-0.4970567938172811,-0.5104003625380596,-0.5301026108766036,-0.571135672196986,-0.06814213008018345,0.2959536087372099,0.2938401700170337,0.3077636783399752,0.2881423676108359,-0.32784586818638006,-0.2346947635041536,1.912266684170843,1.920303270987744,1.9284151390600248,1.8991444782459268,-0.6110790609122106,0.15414862969522325,-0.9955199558460767,-0.987101832905096,-0.9907013028080642,-0.9898538561969517,1.0332644507722957,-0.5329433266045984,-1.0745628566182066,-1.074468187807121,-1.0801501863192844,-1.095625941876119,0.23803318432629111,-1.6237709413082009,-0.3943505495308938,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.2286138450466328,-1.2304913381472515,-1.2279572614985168,-1.2270836105342962,0.13714925846310255,-0.7466554665041942,-1.080576620163821,-1.0803212984571242,-1.0794838309519845,-1.078414293363949,0.5395781476435219,-0.8005591694446486,-0.5928658723441412,-1.3143469637110248,2.112472167435082,1.481139847988039,-1.3550250818295275,-0.5101126186676883,-0.5285956229190665,-0.5365008657208088,-0.5236991506239773,-0.4972356991886229,-0.18562882813470016,0.2849822895717146,0.27506481443828046,0.2790782031328395,0.28631286752171686,-0.18855280969898885,0.07167501145809185,1.8831649212180415,1.857565608807353,1.8627771376123288,1.8731734748213447,-0.506022247087485,0.2571371288118,-0.9901556790463699,-0.9787216832131197,-0.9935135988314245,-0.9728702668643006,3.0031931430260173,-0.2769761220737508,-1.092140383251677,-1.1070927041682637,-1.1114422514643612,-1.106440665034858,0.2162197470593558,-1.6237709413082009,-0.28165775318528075,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.2232519672952562,-1.2210553278371485,-1.2189953918575371,-1.2158664560490238,0.714854493066009,-0.7202919894212203,-1.0760801134807996,-1.075696046172979,-1.0742067335452852,-1.0735907462436207,0.908975462989554,-0.8258413950074733,-0.5928658723441412,-1.3145324605353834,1.9953643743136311,1.5464212686610161,-1.3544276655765746,-0.48771551738041935,-0.49864950468692143,-0.47612713929621225,-0.4852783891082196,-0.577662175312502,-0.7149064028703177,0.2982393002300212,0.3117106891823533,0.30964674098663725,0.3261044944600569,-0.11002336975795905,0.2948018768330418,1.9081986958010968,1.8925207868550247,1.9211918183265457,1.909783202540334,-0.23382959308705936,-0.6956352236402611,-0.9470684234616291,-0.9436618732773003,-0.9450014924284597,-0.9413293152465202,3.092162286145258,-0.5565710685612899,-1.0884220603099812,-1.0902759431573654,-1.0869528091769098,-1.094950021678698,0.14952282853416718,-1.6237709413082009,-0.16896495683966764,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.2173126565552692,-1.2179373418216362,-1.211776107980081,-1.2150416652780478,0.4661535452511469,-0.90483632900206,-1.0735457188049147,-1.0735051371962785,-1.071155911607037,-1.0717921354529898,1.0336347805042387,-0.8619588600972232,-0.5928658723441412,-1.3147179573597434,2.154707764954298,1.4352664172448677,-1.3538302493236214,-0.4989140680240538,-0.4982237304940472,-0.4761434521107014,-0.48687925417137584,-0.6208570032687677,-0.7066823340064996,0.33161039602506914,0.31533003483608874,0.33552381563720346,0.32381761934865816,-0.3113774003803742,-0.4215056018957683,1.8878587539523644,1.8825358226104942,1.911141980784315,1.8850638137386233,-0.7519506976317292,-0.6955064880163612,-0.9465492999003672,-0.9450300609821128,-0.9432438074138595,-0.9458351654776317,1.5275988684762347,-0.62745429443137,-1.0995770291350682,-1.0885942670562756,-1.0845718911767412,-1.0739964955586419,0.21102272608212086,-1.6237709413082009,-0.05627216049405455,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.2183850321055445,-1.220234805201487,-1.230031768359855,-1.2309601271578827,3.6940314185777026,-0.1817238147261239,-1.0729734361361662,-1.0740731506346821,-1.0766803729546754,-1.0766974376092557,3.148776615917278,-0.6452540695587287,-0.5928658723441412,-1.314903454184102,2.2103819616841665,1.3885108051412487,-1.3532328330706682,-0.5197113763622319,-0.525441740008888,-0.593595716433072,-0.5941372134028673,-0.22547243135758502,0.901123128869595,0.2941250555429607,0.286827687812921,0.28231688581751613,0.2730489918756035,0.03544221980733782,0.3556274858133425,1.8606345240932922,1.8506988000114895,1.8018499975125535,1.799328212071929,-0.10728388552545798,2.4713898598178528,-0.9617769243640506,-0.9623034307553703,-0.9757434033338167,-0.9699241340208815,4.475134095273802,-0.2970597027369438,-1.113098203468507,-1.1101197211502256,-1.1631421851823136,-1.1554448793478924,2.426256942607987,-1.6237709413082009,0.056420635851558536,1,0,0,0,1,0,0,0,0,0,0,0,0
-1.2336457610902327,-1.231393913046479,-1.2323552160445534,-1.2272485686884913,1.5298304918995704,-0.588474604006334,-1.0777969614870442,-1.0778058103727644,-1.0791540123640657,-1.076942702717069,2.0309975573516623,-0.7030420137023266,-0.5928658723441412,-1.315088951008461,2.260296758752325,1.3629275456883263,-1.352635416817715,-0.6140991603585794,-0.6121735200387983,-0.5993052015042983,-0.5957380784660236,-0.5958454475560385,-0.6115181085823417,0.23058283204280125,0.2316326665934535,0.2508553968806575,0.2506376157838946,-0.220335001582466,-0.45139533603843124,1.7686354025005655,1.7945158189544226,1.7980813084342167,1.8199798533493077,-0.5036345922278321,0.3086313783700701,-0.9806384137565678,-0.9645267357756904,-0.9764640541898029,-0.9579663007152395,0.8776349673863497,-0.3321075199727024,-1.1678555792253507,-1.1676330438074978,-1.1587204803248572,-1.1584865202362873,-0.27019601431712625,-1.6237709413082009,0.3944990248883978,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.2208597449138725,-1.2227784253720368,-1.2207379776210607,-1.2184233074390491,0.654453300867732,-0.7202919894212203,-1.074567652141965,-1.0760206252806381,-1.0747839160741428,-1.074898826818625,0.9296497124536592,-0.8150061554805481,-0.5928658723441412,-1.3152744478328207,2.304452156158773,1.352341369362978,-1.3520380005647616,-0.5661053718858607,-0.5711888116210283,-0.5626013689035578,-0.5826750195506661,-0.5109687171499396,-0.5090109645297725,0.2543540235680409,0.25756980238453625,0.27306350671843993,0.2593277412072102,-0.31145134623377374,-0.31195972626292057,1.8778452441191427,1.873171992434316,1.8957531670477736,1.8719218601984726,-0.7698581090791256,-0.45090880261453253,-0.9482797117712402,-0.9376760520687458,-0.9441226499211595,-0.9328375205801948,1.674949534656813,-0.43843235877782394,-1.1391264640603764,-1.1390445500889708,-1.1362718248946937,-1.1480097571762595,-0.4284689406806839,-1.6237709413082009,0.5071918212340109,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.2176426182630464,-1.2207271187828839,-1.2197422143276186,-1.220237847135196,1.1683995528946527,-0.6713312462671172,-1.0718288707986698,-1.0735051371962785,-1.0723515039882423,-1.0726096858123675,1.1293332686990998,-0.809588535717088,-0.5928658723441412,-1.3154599446571795,2.3716451522120656,1.2967639436549039,-1.3514405843118085,-0.567705164834951,-0.5554036276555844,-0.5594366828926494,-0.5413086663186997,-0.29591601338183704,-0.2719815512047794,0.2639539278378489,0.25425357692930084,0.26010877597973336,0.2579556161403711,-0.1500463978527784,-0.0030493238985497577,1.9385521474830507,1.9206153986602836,1.941134464699411,1.9276155818796947,-0.745981560482597,-0.35435708469277155,-0.9112488977345554,-0.9086020633414811,-0.909496255133536,-0.9108281752205347,1.991652667996388,-0.5447571975829455,-1.136084199835353,-1.124582135619598,-1.1311698577514746,-1.1192831487858599,-0.45722908596350204,-1.6237709413082009,0.619884617579624,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.2270465269346917,-1.2212194323642807,-1.2269614982050747,-1.2172686003596829,1.8423798105070992,-0.36626815430696363,-1.0760825661208087,-1.0721256759887263,-1.0761856450727973,-1.07032054480611,2.500014140805771,-0.5802426323971772,-0.5928658723441412,-1.3156454414815384,2.5060311443186514,1.221778528017026,-1.3508431680588553,-0.5645055789367699,-0.5711730422064775,-0.5695506278759648,-0.5541155868239527,-0.5324434071175773,-0.3835939143565735,0.2324113852370504,0.24249070355466032,0.2332739765924128,0.2593277412072102,-0.18206178326679784,0.47518642238398445,1.9326066260195751,1.9399673143577179,1.9199355886337672,1.965167149602396,-0.7137482198772834,1.3127692447565744,-0.9219774513339687,-0.9161270957179496,-0.9277744216003633,-0.9092684578328423,1.7422955124423805,-0.30851915758593723,-1.1370982879103606,-1.1457712544933296,-1.1556593000389257,-1.1351672734252571,-0.00951671412274358,-1.6237709413082009,0.732577413925237,1,0,0,0,1,0,0,0,0,0,0,0,0
-1.2177251086899907,-1.2155578261782187,-1.2144314767625934,-1.2107527532689732,0.9425893066283773,-0.6750974572789729,-1.0701937774593895,-1.0704216356735148,-1.069341909373484,-1.0686036890514168,1.2235739326600843,-0.8041709159536253,-0.5928658723441412,-1.3158309383058981,2.4388381482653583,1.2764737723646546,-1.3502457518059021,-0.569304957784042,-0.5333264472843344,-0.5577075245567922,-0.5140939602450381,-0.5736002117520128,0.10808791700159145,0.24658267249248175,0.27008821416439405,0.2605714449346874,0.2890571176553956,-0.2358310484047256,0.5050761565266365,1.9069470070719432,1.9302913565090007,1.9199355886337672,1.9504606777836564,-0.4654321144733864,0.913688810679899,-0.9285530164432867,-0.9178390405835961,-0.9258427257693177,-0.9149874215877146,0.9387692739189405,-0.3912162544343645,-1.1550138439021669,-1.1023840110852121,-1.144434972323844,-1.0895426600993288,0.4637062215893392,-1.6237709413082009,0.8452702102708501,0,0,0,0,1,0,0,0,0,0,0,0,0
